time,ax,ay,az
3.18,-0.708613,1.461187,-0.012623
3.2,-0.610734,0.818269,0.207404
3.22,-0.373673,0.734377,0.212886
3.24,-0.739459,0.35945,0.438704
3.26,-0.500803,0.101648,0.831157
3.28,-0.373849,0.043442,0.667033
3.3,-0.02702,-0.092451,0.850748
3.32,-0.166881,0.022772,0.750063
3.34,0.020826,-0.201632,0.83075
3.36,0.390331,0.056487,0.720902
3.38,0.427884,0.227958,0.525188
3.4,0.442567,0.349039,0.334204
3.42,0.35227,0.570565,-0.131689
3.44,0.559712,1.484364,0.156943
3.46,0.616968,2.865267,-0.207113
3.48,0.444159,3.670822,-0.520523
3.5,0.365712,4.627253,-0.555128
3.52,0.600063,3.970212,-0.489606
3.54,0.591214,2.560974,-0.776666
3.56,0.247912,1.113706,-0.68607
3.58,0.385105,0.670832,-0.873052
3.6,0.238836,-0.030616,-0.743463
3.62,-0.038724,0.471932,-0.493126
3.64,-0.046956,0.904499,-0.610888
3.66,-0.373308,1.291785,-0.659674
3.68,-0.214598,1.926405,-0.185669
3.7,-0.670747,2.20422,0.165239
3.72,-0.537586,1.382333,-0.081428
3.74,-0.533384,0.967119,0.221255
3.76,-0.43287,0.410064,0.693562
3.78,-0.330788,0.122943,0.326966
3.8,-0.54911,-0.044021,0.618303
3.82,-0.808768,0.014028,1.013623
3.84,-0.482594,-0.036086,0.567223
3.86,-0.096831,-0.040232,1.088963
3.88,-0.029191,-0.073376,0.846935
3.9,-0.000734,-0.26609,0.737285
3.92,0.180555,0.044947,0.640655
3.94,0.251289,0.143783,0.707565
3.96,0.266015,0.581044,0.250296
3.98,0.399522,1.193295,0.135168
4.0,0.776194,1.818979,-0.320678
4.02,0.615803,2.882577,-0.446866
4.04,0.32852,4.181265,-0.321556
4.06,0.619198,4.410866,-0.673475
4.08,0.350328,3.600413,-0.824051
4.1,0.380237,2.382189,-0.884798
4.12,0.267366,1.066427,-0.794148
4.14,0.254288,0.614009,-0.725307
4.16,-0.202606,0.368472,-0.716711
4.18,0.006039,0.33481,-0.65781
4.2,-0.039912,1.018441,-0.584635
4.22,-0.272793,1.53212,-0.328899
4.24,-0.431646,1.79211,-0.385224
4.26,-0.547676,2.012167,-0.122599
4.28,-0.600398,1.383691,0.206675
4.3,-0.727018,1.231047,0.124107
4.32,-0.750679,0.665807,0.446753
4.34,-0.510413,0.525426,0.506159
4.36,-0.423355,-0.050077,0.868777
4.38,-0.304738,0.154069,0.785313
4.4,-0.406892,-0.051523,0.871055
4.42,-0.166649,0.02825,0.58993
4.44,-0.002982,-0.137646,0.58907
4.46,0.081811,-0.368546,0.775735
4.48,0.362626,0.006467,0.407078
4.5,0.210866,0.052196,0.049448
4.52,0.479622,0.438473,0.202045
4.54,0.455214,0.910702,0.12457
4.56,0.743352,1.933987,-0.212013
4.58,0.530384,3.32507,-0.050111
4.6,0.541331,4.113243,-0.574604
4.62,0.234695,4.453281,-0.786209
4.64,0.295914,3.043463,-0.85798
4.66,0.473496,1.830668,-1.025832
4.68,0.302487,0.958567,-0.732769
4.7,0.260298,0.508379,-0.985839
4.72,-0.003492,0.566978,-0.831893
4.74,-0.335445,0.952637,-0.722076
4.76,-0.31001,1.156334,-0.386947
4.78,-0.325215,1.496967,-0.293339
4.8,-0.140254,2.06564,-0.128713
4.82,-0.704647,2.471096,-0.231727
4.84,-0.638749,1.253106,0.372467
4.86,-0.536917,0.663448,0.342389
4.88,-0.504325,0.480046,0.277642
4.9,-0.651651,0.174769,0.59903
4.92,-0.54976,0.253366,0.557733
4.94,-0.636323,-0.111598,0.97149
4.96,-0.348243,0.478577,0.872625
4.98,-0.309226,-0.164342,0.824453
5.0,-0.176647,0.475427,0.588215
5.02,0.236704,0.296256,0.631831
5.04,0.11289,-0.029749,0.580881
5.06,0.507978,0.124123,0.168028
5.08,0.478122,0.260071,-0.117172
